species,species_common_name,gene_symbol,cell_type,marker_direction,tissue,condition,assay,confidence,bbsr_verified,notes,source_title,citation,doi,pmid,url,evidence_type,evidence_location,evidence_note
Homo sapiens,human,CD27,memory B cell,positive,blood,,CITE-seq,high,false,Canonical but not universal memory B-cell marker,An Integrated Multi-omic Single-Cell Atlas of Human B Cell Identity,Glass et al. Immunity. 2020;53:217-232.e5,10.1016/j.immuni.2020.06.013,32668225,https://pubmed.ncbi.nlm.nih.gov/32668225/,reported_marker,Figures 1-6 and supplemental tables,CD27-negative memory populations also exist
Homo sapiens,human,CD82,memory B cell,positive,blood,,scRNA-seq,moderate,false,Memory B-cell-associated marker,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figures 3-5 and Tables S1-S2,Supported by human PBMC biomarker analysis
Homo sapiens,human,AIM2,memory B cell,positive,blood,,scRNA-seq,moderate,false,Memory B-cell-associated transcriptional marker,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figures 3-5 and Tables S1-S2,Supported by human PBMC biomarker analysis
Homo sapiens,human,GPR183,memory B cell,positive,blood,,scRNA-seq,moderate,false,Antigen-experienced B-cell-associated receptor,An Integrated Multi-omic Single-Cell Atlas of Human B Cell Identity,Glass et al. Immunity. 2020;53:217-232.e5,10.1016/j.immuni.2020.06.013,32668225,https://pubmed.ncbi.nlm.nih.gov/32668225/,reported_marker,Figures 1-6 and supplemental tables,Use with CD27 and isotype markers
Homo sapiens,human,TNFRSF13B,memory B cell,positive,blood,,scRNA-seq,moderate,false,TACI-encoding memory B-cell-associated marker,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figures 3-5 and Tables S1-S2,Use as part of a marker panel
Homo sapiens,human,IGHM,unswitched memory B cell,positive,blood,,scRNA-seq,high,false,IgM memory program,An Integrated Multi-omic Single-Cell Atlas of Human B Cell Identity,Glass et al. Immunity. 2020;53:217-232.e5,10.1016/j.immuni.2020.06.013,32668225,https://pubmed.ncbi.nlm.nih.gov/32668225/,reported_marker,Figures 1-6 and supplemental tables,Interpret with IGHD and CD27
Homo sapiens,human,IGHD,unswitched memory B cell,positive,blood,,scRNA-seq,high,false,IgD-positive memory program,An Integrated Multi-omic Single-Cell Atlas of Human B Cell Identity,Glass et al. Immunity. 2020;53:217-232.e5,10.1016/j.immuni.2020.06.013,32668225,https://pubmed.ncbi.nlm.nih.gov/32668225/,reported_marker,Figures 1-6 and supplemental tables,Interpret with IGHM and CD27
Homo sapiens,human,CD27,unswitched memory B cell,positive,blood,,CITE-seq,moderate,false,Classical memory surface marker,An Integrated Multi-omic Single-Cell Atlas of Human B Cell Identity,Glass et al. Immunity. 2020;53:217-232.e5,10.1016/j.immuni.2020.06.013,32668225,https://pubmed.ncbi.nlm.nih.gov/32668225/,reported_marker,Figures 1-6 and supplemental tables,CD27-negative memory populations also exist
Homo sapiens,human,CR2,unswitched memory B cell,positive,blood,,CITE-seq,moderate,false,CD21-encoding complement receptor,An Integrated Multi-omic Single-Cell Atlas of Human B Cell Identity,Glass et al. Immunity. 2020;53:217-232.e5,10.1016/j.immuni.2020.06.013,32668225,https://pubmed.ncbi.nlm.nih.gov/32668225/,reported_marker,Figures 1-6 and supplemental tables,Use in a multi-marker panel
Homo sapiens,human,CD27,switched memory B cell,positive,blood,,CITE-seq,moderate,false,Classical memory surface marker,An Integrated Multi-omic Single-Cell Atlas of Human B Cell Identity,Glass et al. Immunity. 2020;53:217-232.e5,10.1016/j.immuni.2020.06.013,32668225,https://pubmed.ncbi.nlm.nih.gov/32668225/,reported_marker,Figures 1-6 and supplemental tables,Interpret with loss of IgD and class-switched isotypes
Homo sapiens,human,CD82,switched memory B cell,positive,blood,,scRNA-seq,moderate,false,Memory B-cell-associated marker,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figures 3-5 and Tables S1-S2,Use with isotype and CD27 information
Homo sapiens,human,TNFRSF13B,switched memory B cell,positive,blood,,scRNA-seq,moderate,false,TACI-encoding antigen-experienced marker,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figures 3-5 and Tables S1-S2,Use with isotype and CD27 information
Homo sapiens,human,CD44,switched memory B cell,positive,blood,,CITE-seq,moderate,false,Antigen-experienced B-cell marker,An Integrated Multi-omic Single-Cell Atlas of Human B Cell Identity,Glass et al. Immunity. 2020;53:217-232.e5,10.1016/j.immuni.2020.06.013,32668225,https://pubmed.ncbi.nlm.nih.gov/32668225/,reported_marker,Figures 1-6 and supplemental tables,Use in a multi-marker panel
Homo sapiens,human,MZB1,plasmablast,positive,blood,,scRNA-seq,high,false,Antibody-secreting cell marker,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figures 3-5 and Tables S1-S2,Supported by human PBMC biomarker analysis
Homo sapiens,human,JCHAIN,plasmablast,positive,blood,,scRNA-seq,high,false,Immunoglobulin joining-chain marker,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figures 3-5 and Tables S1-S2,Supported by human PBMC biomarker analysis
Homo sapiens,human,PRDM1,plasmablast,positive,blood,,scRNA-seq,high,false,Plasma-cell differentiation regulator,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figures 3-5 and Tables S1-S2,Supported by human PBMC biomarker analysis
Homo sapiens,human,XBP1,plasmablast,positive,blood,,scRNA-seq,high,false,Antibody secretory program regulator,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figures 3-5 and Tables S1-S2,Supported by human PBMC biomarker analysis
Homo sapiens,human,CD38,plasmablast,positive,blood,,CITE-seq,high,false,High surface expression in plasmablasts,An Integrated Multi-omic Single-Cell Atlas of Human B Cell Identity,Glass et al. Immunity. 2020;53:217-232.e5,10.1016/j.immuni.2020.06.013,32668225,https://pubmed.ncbi.nlm.nih.gov/32668225/,reported_marker,Figures 1-6 and supplemental tables,Interpret with CD27 and loss of MS4A1
Homo sapiens,human,TNFRSF17,plasmablast,positive,blood,,scRNA-seq,high,false,BCMA-encoding antibody-secreting cell marker,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figures 3-5 and Tables S1-S2,Supported by human PBMC biomarker analysis
Homo sapiens,human,CD3D,T cell,positive,,,scRNA-seq,high,false,T-cell receptor complex marker,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figures 3-5 and Tables S1-S2,Canonical T-lineage marker in human PBMC
Homo sapiens,human,CD3E,T cell,positive,,,scRNA-seq,high,false,T-cell receptor complex marker,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figures 3-5 and Tables S1-S2,Canonical T-lineage marker in human PBMC
Homo sapiens,human,CD3G,T cell,positive,,,scRNA-seq,high,false,T-cell receptor complex marker,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figures 3-5 and Tables S1-S2,Canonical T-lineage marker in human PBMC
Homo sapiens,human,TRAC,T cell,positive,,,scRNA-seq,high,false,T-cell receptor alpha constant marker,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,Szabo et al. Nature Communications. 2019;10:4706,10.1038/s41467-019-12464-3,31624246,https://pubmed.ncbi.nlm.nih.gov/31624246/,reported_marker,Figures 1-4 and supplementary marker analysis,Supported across human blood and tissue T cells
Homo sapiens,human,LCK,T cell,positive,,,scRNA-seq,moderate,false,T-lineage signaling kinase,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,Szabo et al. Nature Communications. 2019;10:4706,10.1038/s41467-019-12464-3,31624246,https://pubmed.ncbi.nlm.nih.gov/31624246/,reported_marker,Figures 1-4 and supplementary marker analysis,Supported across human blood and tissue T cells
Homo sapiens,human,CD4,CD4-positive helper T cell,positive,,,CITE-seq,high,false,CD4 lineage marker,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figure 4 and Tables S1-S2,Supported by multimodal human PBMC analysis
Homo sapiens,human,IL7R,CD4-positive helper T cell,positive,,,scRNA-seq,moderate,false,Common non-cytotoxic CD4 T-cell marker,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figure 4 and Tables S1-S2,Use with CD4 and T-lineage markers
Homo sapiens,human,LTB,CD4-positive helper T cell,positive,,,scRNA-seq,moderate,false,Lymphoid marker enriched in helper and memory states,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figure 4 and Tables S1-S2,Use as part of a marker panel
Homo sapiens,human,MAL,CD4-positive helper T cell,positive,,,scRNA-seq,moderate,false,Naive and helper T-cell-associated marker,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figure 4 and Tables S1-S2,Use as part of a marker panel
Homo sapiens,human,CCR7,naive CD4-positive T cell,positive,blood,,CITE-seq,high,false,Lymphoid homing receptor,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figure 4 and Tables S1-S2,Naive and central-memory-associated marker
Homo sapiens,human,SELL,naive CD4-positive T cell,positive,blood,,CITE-seq,high,false,CD62L-encoding naive T-cell marker,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figure 4 and Tables S1-S2,Naive and central-memory-associated marker
Homo sapiens,human,TCF7,naive CD4-positive T cell,positive,blood,,scRNA-seq,high,false,Naive T-cell transcription factor,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figure 4 and Tables S1-S2,Supported by human PBMC biomarker analysis
Homo sapiens,human,LEF1,naive CD4-positive T cell,positive,blood,,scRNA-seq,high,false,Naive T-cell transcription factor,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figure 4 and Tables S1-S2,Supported by human PBMC biomarker analysis
Homo sapiens,human,MAL,naive CD4-positive T cell,positive,blood,,scRNA-seq,moderate,false,Naive T-cell-associated marker,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figure 4 and Tables S1-S2,Use as part of a marker panel
Homo sapiens,human,CCR7,central memory CD4-positive T cell,positive,,,CITE-seq,high,false,Central-memory homing receptor,Tissue adaptation and clonal segregation of human memory T cells in barrier sites,Poon et al. Nature Immunology. 2023;24:309-319,10.1038/s41590-022-01395-9,36658238,https://pubmed.ncbi.nlm.nih.gov/36658238/,reported_marker,Figure 3 and Extended Data Figures 1-2,Marker used in human T-cell subset annotation across blood and tissues
Homo sapiens,human,SELL,central memory CD4-positive T cell,positive,,,CITE-seq,high,false,CD62L-encoding central-memory marker,Tissue adaptation and clonal segregation of human memory T cells in barrier sites,Poon et al. Nature Immunology. 2023;24:309-319,10.1038/s41590-022-01395-9,36658238,https://pubmed.ncbi.nlm.nih.gov/36658238/,reported_marker,Figure 3 and Extended Data Figures 1-2,Marker used in human T-cell subset annotation across blood and tissues
Homo sapiens,human,IL7R,central memory CD4-positive T cell,positive,,,scRNA-seq,high,false,Memory-survival receptor,Tissue adaptation and clonal segregation of human memory T cells in barrier sites,Poon et al. Nature Immunology. 2023;24:309-319,10.1038/s41590-022-01395-9,36658238,https://pubmed.ncbi.nlm.nih.gov/36658238/,reported_marker,Figure 3 and Extended Data Figures 1-2,Use with CCR7 and SELL
Homo sapiens,human,TCF7,central memory CD4-positive T cell,positive,,,scRNA-seq,moderate,false,Less-differentiated memory program,Tissue adaptation and clonal segregation of human memory T cells in barrier sites,Poon et al. Nature Immunology. 2023;24:309-319,10.1038/s41590-022-01395-9,36658238,https://pubmed.ncbi.nlm.nih.gov/36658238/,reported_marker,Figure 3 and Extended Data Figures 1-2,Use with homing receptors
Homo sapiens,human,LTB,central memory CD4-positive T cell,positive,,,scRNA-seq,moderate,false,Lymphoid memory-associated marker,Tissue adaptation and clonal segregation of human memory T cells in barrier sites,Poon et al. Nature Immunology. 2023;24:309-319,10.1038/s41590-022-01395-9,36658238,https://pubmed.ncbi.nlm.nih.gov/36658238/,reported_marker,Figure 3 and Extended Data Figures 1-2,Use as part of a marker panel
Homo sapiens,human,IL7R,effector memory CD4-positive T cell,positive,,,scRNA-seq,moderate,false,Memory CD4 T-cell marker,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,Szabo et al. Nature Communications. 2019;10:4706,10.1038/s41467-019-12464-3,31624246,https://pubmed.ncbi.nlm.nih.gov/31624246/,reported_marker,Figures 1-4 and supplementary marker analysis,Supported across human blood and tissue T cells
Homo sapiens,human,GZMK,effector memory CD4-positive T cell,positive,,,scRNA-seq,high,false,Effector-memory-associated granzyme,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,Szabo et al. Nature Communications. 2019;10:4706,10.1038/s41467-019-12464-3,31624246,https://pubmed.ncbi.nlm.nih.gov/31624246/,reported_marker,Figures 1-4 and supplementary marker analysis,Supported across human blood and tissue T cells
Homo sapiens,human,CCL5,effector memory CD4-positive T cell,positive,,,scRNA-seq,moderate,false,Effector-associated chemokine,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,Szabo et al. Nature Communications. 2019;10:4706,10.1038/s41467-019-12464-3,31624246,https://pubmed.ncbi.nlm.nih.gov/31624246/,reported_marker,Figures 1-4 and supplementary marker analysis,Expression varies with activation and cytotoxic differentiation
Homo sapiens,human,LTB,effector memory CD4-positive T cell,positive,,,scRNA-seq,moderate,false,Lymphoid memory-associated marker,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,Szabo et al. Nature Communications. 2019;10:4706,10.1038/s41467-019-12464-3,31624246,https://pubmed.ncbi.nlm.nih.gov/31624246/,reported_marker,Figures 1-4 and supplementary marker analysis,Use as part of a marker panel
Homo sapiens,human,FOXP3,regulatory T cell,positive,,,scRNA-seq,high,false,Canonical regulatory T-cell transcription factor,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figure 4 and Tables S1-S2,Canonical marker in a multimodal human PBMC atlas
Homo sapiens,human,IL2RA,regulatory T cell,positive,,,CITE-seq,high,false,CD25-encoding regulatory T-cell marker,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figure 4 and Tables S1-S2,Interpret with FOXP3 and CTLA4
Homo sapiens,human,CTLA4,regulatory T cell,positive,,,scRNA-seq,high,false,Regulatory and activation-associated checkpoint,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figure 4 and Tables S1-S2,Interpret with FOXP3 and IL2RA
Homo sapiens,human,TIGIT,regulatory T cell,positive,,,CITE-seq,moderate,false,Regulatory T-cell-associated checkpoint,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figure 4 and Tables S1-S2,Not exclusive to regulatory T cells
Homo sapiens,human,IKZF2,regulatory T cell,positive,,,scRNA-seq,moderate,false,HELIOS-encoding regulatory T-cell-associated factor,Tissue adaptation and clonal segregation of human memory T cells in barrier sites,Poon et al. Nature Immunology. 2023;24:309-319,10.1038/s41590-022-01395-9,36658238,https://pubmed.ncbi.nlm.nih.gov/36658238/,reported_marker,Figure 3 and Extended Data Figures 1-2,Use with FOXP3 and IL2RA
Homo sapiens,human,CXCR5,follicular helper T cell,positive,lymphoid tissue,,CITE-seq,high,false,Follicular homing receptor,Tissue adaptation and clonal segregation of human memory T cells in barrier sites,Poon et al. Nature Immunology. 2023;24:309-319,10.1038/s41590-022-01395-9,36658238,https://pubmed.ncbi.nlm.nih.gov/36658238/,reported_marker,Figure 3 and Extended Data Figures 1-2,Marker used in human T-cell subset annotation
Homo sapiens,human,PDCD1,follicular helper T cell,positive,lymphoid tissue,,CITE-seq,moderate,false,PD-1-encoding follicular helper marker,Tissue adaptation and clonal segregation of human memory T cells in barrier sites,Poon et al. Nature Immunology. 2023;24:309-319,10.1038/s41590-022-01395-9,36658238,https://pubmed.ncbi.nlm.nih.gov/36658238/,reported_marker,Figure 3 and Extended Data Figures 1-2,Also expressed in activated or exhausted T cells
Homo sapiens,human,ICOS,follicular helper T cell,positive,lymphoid tissue,,CITE-seq,moderate,false,Follicular helper co-stimulatory receptor,Tissue adaptation and clonal segregation of human memory T cells in barrier sites,Poon et al. Nature Immunology. 2023;24:309-319,10.1038/s41590-022-01395-9,36658238,https://pubmed.ncbi.nlm.nih.gov/36658238/,reported_marker,Figure 3 and Extended Data Figures 1-2,Use with CXCR5 and PDCD1
Homo sapiens,human,SH2D1A,follicular helper T cell,positive,lymphoid tissue,,scRNA-seq,moderate,false,SLAM-associated signaling marker,Tissue adaptation and clonal segregation of human memory T cells in barrier sites,Poon et al. Nature Immunology. 2023;24:309-319,10.1038/s41590-022-01395-9,36658238,https://pubmed.ncbi.nlm.nih.gov/36658238/,reported_marker,Figure 3 and Extended Data Figures 1-2,Use as part of a marker panel
Homo sapiens,human,TOX2,follicular helper T cell,positive,lymphoid tissue,,scRNA-seq,moderate,false,Follicular helper transcriptional program,Tissue adaptation and clonal segregation of human memory T cells in barrier sites,Poon et al. Nature Immunology. 2023;24:309-319,10.1038/s41590-022-01395-9,36658238,https://pubmed.ncbi.nlm.nih.gov/36658238/,reported_marker,Figure 3 and Extended Data Figures 1-2,Use as part of a marker panel
Homo sapiens,human,CD8A,CD8-positive cytotoxic T cell,positive,,,CITE-seq,high,false,CD8 lineage marker,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figure 4 and Tables S1-S2,Supported by multimodal human PBMC analysis
Homo sapiens,human,CD8B,CD8-positive cytotoxic T cell,positive,,,scRNA-seq,high,false,CD8 lineage marker,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figure 4 and Tables S1-S2,Supported by human PBMC biomarker analysis
Homo sapiens,human,CCL5,CD8-positive cytotoxic T cell,positive,,,scRNA-seq,high,false,Cytotoxic effector marker,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,Szabo et al. Nature Communications. 2019;10:4706,10.1038/s41467-019-12464-3,31624246,https://pubmed.ncbi.nlm.nih.gov/31624246/,reported_marker,Figures 1-4 and supplementary marker analysis,Expression varies with differentiation and activation
Homo sapiens,human,NKG7,CD8-positive cytotoxic T cell,positive,,,scRNA-seq,moderate,false,Cytotoxic lymphocyte marker,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,Szabo et al. Nature Communications. 2019;10:4706,10.1038/s41467-019-12464-3,31624246,https://pubmed.ncbi.nlm.nih.gov/31624246/,reported_marker,Figures 1-4 and supplementary marker analysis,Also highly expressed by NK cells
